Valeur fonciere,Surface reelle bati,Commune,Code postal,Date mutation,Nature mutation,prix_au_m2,mois,trimestre,categorie_prix,categorie_surface
514200.0,90,LUMIO,20260,2023-01-20,Vente,5713.33,1,1,500k-1M,80-120 m²
2250000.0,38,AULNAY SOUS BOIS,93600,2023-07-31,Vente,59210.53,7,3,>1M,30-50 m²
850000.0,85,ANTIBES,6600,2023-12-07,Adjudication,10000.0,12,4,500k-1M,80-120 m²
1106780.0,151,GRIMAUD,83310,2023-06-16,Vente,7329.67,6,2,>1M,>120 m²
425000.0,57,LES ANGLES,30133,2023-10-24,Vente,7456.14,10,4,250k-500k,50-80 m²
399000.0,87,CORMEILLES-EN-PARISIS,95240,2023-07-13,Vente,4586.21,7,3,250k-500k,80-120 m²
86882.0,22,COURSEULLES-SUR-MER,14470,2023-05-11,Vente,3949.18,5,2,<100k,<30 m²
570000.0,25,PARIS 06,75006,2023-03-31,Vente,22800.0,3,1,500k-1M,<30 m²
928100.0,122,SEIGNOSSE,40510,2023-04-12,Vente,7607.38,4,2,500k-1M,>120 m²
98500.0,28,MANDELIEU-LA-NAPOULE,6210,2023-10-26,Vente,3517.86,10,4,<100k,<30 m²
61000.0,125,GAZAVE,65250,2023-08-24,Vente,488.0,8,3,<100k,>120 m²
93600.0,94,TARBES,65000,2023-06-09,Vente,995.74,6,2,<100k,80-120 m²
135000.0,45,LA LLAGONNE,66210,2023-05-31,Vente,3000.0,5,2,100k-250k,30-50 m²
145000.0,38,VOIRON,38500,2023-11-29,Vente,3815.79,11,4,100k-250k,30-50 m²
450000.0,12,LILLE,59000,2023-03-02,Vente,37500.0,3,1,250k-500k,<30 m²
360000.0,153,CHAMBRAY LES TOURS,37170,2023-10-23,Vente,2352.94,10,4,250k-500k,>120 m²
403000.0,9,FONTENAY-SOUS-BOIS,94120,2023-01-06,Vente,44777.78,1,1,250k-500k,<30 m²
22500.0,70,SAINT ELOY LES MINES,63700,2023-08-04,Vente,321.43,8,3,<100k,50-80 m²
53000.0,30,MONS EN LAONNOIS,2000,2023-10-10,Vente,1766.67,10,4,<100k,30-50 m²
331865.0,260,VILLIERS LE ROUX,16240,2023-07-04,Vente,1276.4,7,3,250k-500k,>120 m²
250000.0,61,BACQUEVILLE,27440,2023-11-09,Vente,4098.36,11,4,250k-500k,50-80 m²
13800000.0,12,LILLE,59777,2023-09-22,Vente,1150000.0,9,3,>1M,<30 m²
135000.0,90,ANNEZIN,62232,2023-05-10,Vente,1500.0,5,2,100k-250k,80-120 m²
128500.0,54,NANTES,44100,2023-03-03,Vente,2379.63,3,1,100k-250k,50-80 m²
235000.0,57,FROGES,38190,2023-05-05,Vente,4122.81,5,2,100k-250k,50-80 m²
280000.0,150,MONTRICHARD VAL DE CHER,41400,2023-09-08,Vente,1866.67,9,3,250k-500k,>120 m²
6200000.0,88,LEGE-CAP-FERRET,33950,2023-03-28,Vente,70454.55,3,1,>1M,80-120 m²
273000.0,59,CAVALAIRE-SUR-MER,83240,2023-10-23,Vente,4627.12,10,4,250k-500k,50-80 m²
230020.0,60,REIMS,51100,2023-12-11,Vente,3833.67,12,4,100k-250k,50-80 m²
397390.0,300,CHATOU,78400,2023-02-22,Vente,1324.63,2,1,250k-500k,>120 m²
242860.0,80,SAINT-NAZAIRE,44600,2023-05-09,Vente,3035.75,5,2,100k-250k,80-120 m²
1747500.0,161,VOUHE,79310,2023-07-10,Vente,10854.04,7,3,>1M,>120 m²
30000.0,63,CEZY,89410,2023-01-21,Vente,476.19,1,1,<100k,50-80 m²
214000.0,41,SELONCOURT,25230,2023-05-10,Vente,5219.51,5,2,100k-250k,30-50 m²
205000.0,188,NETTANCOURT,55800,2023-07-11,Vente,1090.43,7,3,100k-250k,>120 m²
82505.0,27,MONT-DORE,63240,2023-02-10,Vente,3055.74,2,1,<100k,<30 m²
180000.0,45,DOUARNENEZ,29100,2023-04-14,Vente,4000.0,4,2,100k-250k,30-50 m²
131935.0,42,ROUEN,76000,2023-04-28,Vente,3141.31,4,2,100k-250k,30-50 m²
485100.0,116,CORMEILLES-EN-PARISIS,95240,2023-06-30,Vente,4181.9,6,2,250k-500k,80-120 m²
41000.0,141,PISANY,17600,2023-12-13,Vente,290.78,12,4,<100k,>120 m²
195559.95,70,LANQUAIS,24150,2023-04-12,Vente,2793.71,4,2,100k-250k,50-80 m²
50000.0,70,GAILLAC TOULZA,31550,2023-03-09,Vente,714.29,3,1,<100k,50-80 m²
200000.0,51,BOIS D ARCY,78390,2023-05-15,Vente en l'état futur d'achèvement,3921.57,5,2,100k-250k,50-80 m²
